edad,sexo,periodo,total
De 55 a 59 años,Hombres,2022T4,"9,45"
De 55 a 59 años,Hombres,2022T3,"8,96"
De 55 a 59 años,Hombres,2022T2,"10,28"
De 55 a 59 años,Hombres,2022T1,"11,13"
De 55 a 59 años,Hombres,2021T4,"10,06"
De 55 a 59 años,Hombres,2021T3,"11,46"
De 55 a 59 años,Hombres,2021T2,"11,56"
De 55 a 59 años,Hombres,2021T1,"12,06"
De 55 a 59 años,Hombres,2020T4,"11,19"
De 55 a 59 años,Hombres,2020T3,"10,92"
De 55 a 59 años,Hombres,2020T2,"10,95"
De 55 a 59 años,Hombres,2020T1,"10,98"
De 55 a 59 años,Hombres,2019T4,"11,39"
De 55 a 59 años,Hombres,2019T3,"11,17"
De 55 a 59 años,Hombres,2019T2,"11,99"
De 55 a 59 años,Hombres,2019T1,"12,18"
De 55 a 59 años,Hombres,2018T4,"11,87"
De 55 a 59 años,Hombres,2018T3,"11,53"
De 55 a 59 años,Hombres,2018T2,"13,24"
De 55 a 59 años,Hombres,2018T1,"14,29"
De 55 a 59 años,Hombres,2017T4,"15,00"
De 55 a 59 años,Hombres,2017T3,"13,93"
De 55 a 59 años,Hombres,2017T2,"14,61"
De 55 a 59 años,Hombres,2017T1,"16,38"
De 55 a 59 años,Hombres,2016T4,"16,59"
De 55 a 59 años,Hombres,2016T3,"16,43"
De 55 a 59 años,Hombres,2016T2,"17,65"
De 55 a 59 años,Hombres,2016T1,"18,70"
De 55 a 59 años,Hombres,2015T4,"19,30"
De 55 a 59 años,Hombres,2015T3,"18,97"
De 55 a 59 años,Hombres,2015T2,"19,54"
De 55 a 59 años,Hombres,2015T1,"20,91"
De 55 a 59 años,Hombres,2014T4,"22,56"
De 55 a 59 años,Hombres,2014T3,"21,55"
De 55 a 59 años,Hombres,2014T2,"21,94"
De 55 a 59 años,Hombres,2014T1,"21,90"
De 55 a 59 años,Hombres,2013T4,"21,20"
De 55 a 59 años,Hombres,2013T3,"20,63"
De 55 a 59 años,Hombres,2013T2,"21,36"
De 55 a 59 años,Hombres,2013T1,"21,07"
De 55 a 59 años,Hombres,2012T4,"19,76"
De 55 a 59 años,Hombres,2012T3,"18,95"
De 55 a 59 años,Hombres,2012T2,"18,31"
De 55 a 59 años,Hombres,2012T1,"18,66"
De 55 a 59 años,Hombres,2011T4,"17,84"
De 55 a 59 años,Hombres,2011T3,"15,88"
De 55 a 59 años,Hombres,2011T2,"14,98"
De 55 a 59 años,Hombres,2011T1,"14,83"
De 55 a 59 años,Hombres,2010T4,"15,41"
De 55 a 59 años,Hombres,2010T3,"15,31"
De 55 a 59 años,Hombres,2010T2,"14,82"
De 55 a 59 años,Hombres,2010T1,"14,59"
De 55 a 59 años,Mujeres,2023T4,"12,94"
De 55 a 59 años,Mujeres,2023T3,"13,62"
De 55 a 59 años,Mujeres,2023T2,"13,81"
De 55 a 59 años,Mujeres,2023T1,"13,90"
De 55 a 59 años,Mujeres,2022T4,"12,65"
De 55 a 59 años,Mujeres,2022T3,"12,52"
De 55 a 59 años,Mujeres,2022T2,"13,38"
De 55 a 59 años,Mujeres,2022T1,"13,87"
De 55 a 59 años,Mujeres,2021T4,"15,45"
De 55 a 59 años,Mujeres,2021T3,"17,34"
De 55 a 59 años,Mujeres,2021T2,"15,46"
De 55 a 59 años,Mujeres,2021T1,"15,81"
De 55 a 59 años,Mujeres,2020T4,"15,23"
De 55 a 59 años,Mujeres,2020T3,"14,24"
De 55 a 59 años,Mujeres,2020T2,"12,91"
De 55 a 59 años,Mujeres,2020T1,"14,56"
De 55 a 59 años,Mujeres,2019T4,"14,35"
De 55 a 59 años,Mujeres,2019T3,"13,61"
De 55 a 59 años,Mujeres,2019T2,"13,05"
De 55 a 59 años,Mujeres,2019T1,"14,26"
De 55 a 59 años,Mujeres,2018T4,"14,46"
De 55 a 59 años,Mujeres,2018T3,"14,09"
De 55 a 59 años,Mujeres,2018T2,"15,33"
De 55 a 59 años,Mujeres,2018T1,"16,70"
De 55 a 59 años,Mujeres,2017T4,"15,67"
De 55 a 59 años,Mujeres,2017T3,"16,63"
De 55 a 59 años,Mujeres,2017T2,"17,23"
De 55 a 59 años,Mujeres,2017T1,"16,76"
De 55 a 59 años,Mujeres,2016T4,"17,28"
De 55 a 59 años,Mujeres,2016T3,"17,26"
De 55 a 59 años,Mujeres,2016T2,"18,01"
De 55 a 59 años,Mujeres,2016T1,"18,45"
De 55 a 59 años,Mujeres,2015T4,"18,94"
De 55 a 59 años,Mujeres,2015T3,"20,25"
De 55 a 59 años,Mujeres,2015T2,"19,59"
De 55 a 59 años,Mujeres,2015T1,"19,03"
De 55 a 59 años,Mujeres,2014T4,"19,84"
De 55 a 59 años,Mujeres,2014T3,"20,66"
De 55 a 59 años,Mujeres,2014T2,"21,73"
De 55 a 59 años,Mujeres,2014T1,"20,91"
De 55 a 59 años,Mujeres,2013T4,"20,44"
De 55 a 59 años,Mujeres,2013T3,"18,87"
De 55 a 59 años,Mujeres,2013T2,"20,23"
De 55 a 59 años,Mujeres,2013T1,"20,85"
De 55 a 59 años,Mujeres,2012T4,"19,90"
De 55 a 59 años,Mujeres,2012T3,"18,83"
De 55 a 59 años,Mujeres,2012T2,"18,81"
De 55 a 59 años,Mujeres,2012T1,"18,34"
De 55 a 59 años,Mujeres,2011T4,"17,38"
De 55 a 59 años,Mujeres,2011T3,"15,69"
De 55 a 59 años,Mujeres,2011T2,"15,15"
De 55 a 59 años,Mujeres,2011T1,"16,54"
De 55 a 59 años,Mujeres,2010T4,"15,13"
De 55 a 59 años,Mujeres,2010T3,"15,21"
De 55 a 59 años,Mujeres,2010T2,"14,45"
De 55 a 59 años,Mujeres,2010T1,"15,65"
De 60 a 64 años,Ambos sexos,2023T4,"10,73"
De 60 a 64 años,Ambos sexos,2023T3,"11,34"
De 60 a 64 años,Ambos sexos,2023T2,"11,41"
De 60 a 64 años,Ambos sexos,2023T1,"12,62"
De 60 a 64 años,Ambos sexos,2022T4,"12,52"
De 60 a 64 años,Ambos sexos,2022T3,"11,43"
De 60 a 64 años,Ambos sexos,2022T2,"12,95"
De 60 a 64 años,Ambos sexos,2022T1,"13,01"
De 60 a 64 años,Ambos sexos,2021T4,"13,11"
De 60 a 64 años,Ambos sexos,2021T3,"14,70"
De 60 a 64 años,Ambos sexos,2021T2,"12,93"
De 60 a 64 años,Ambos sexos,2021T1,"12,30"
De 60 a 64 años,Ambos sexos,2020T4,"12,97"
De 60 a 64 años,Ambos sexos,2020T3,"12,61"
De 60 a 64 años,Ambos sexos,2020T2,"12,09"
De 60 a 64 años,Ambos sexos,2020T1,"12,34"
De 60 a 64 años,Ambos sexos,2019T4,"12,88"
De 60 a 64 años,Ambos sexos,2019T3,"12,15"
De 60 a 64 años,Ambos sexos,2019T2,"12,79"
De 60 a 64 años,Ambos sexos,2019T1,"12,69"
De 60 a 64 años,Ambos sexos,2018T4,"13,61"
De 60 a 64 años,Ambos sexos,2018T3,"12,38"
De 60 a 64 años,Ambos sexos,2018T2,"13,59"
De 60 a 64 años,Ambos sexos,2018T1,"15,28"
De 60 a 64 años,Ambos sexos,2017T4,"14,11"
De 60 a 64 años,Ambos sexos,2017T3,"14,15"
De 60 a 64 años,Ambos sexos,2017T2,"14,90"
De 60 a 64 años,Ambos sexos,2017T1,"15,37"
De 60 a 64 años,Ambos sexos,2016T4,"16,22"
De 60 a 64 años,Ambos sexos,2016T3,"16,03"
De 60 a 64 años,Ambos sexos,2016T2,"15,75"
De 60 a 64 años,Ambos sexos,2016T1,"16,27"
De 60 a 64 años,Ambos sexos,2015T4,"16,74"
De 60 a 64 años,Ambos sexos,2015T3,"16,36"
De 60 a 64 años,Ambos sexos,2015T2,"16,54"
De 60 a 64 años,Ambos sexos,2015T1,"16,96"
De 60 a 64 años,Ambos sexos,2014T4,"16,32"
De 60 a 64 años,Ambos sexos,2014T3,"16,22"
De 60 a 64 años,Ambos sexos,2014T2,"17,08"
De 60 a 64 años,Ambos sexos,2014T1,"18,21"
De 60 a 64 años,Ambos sexos,2013T4,"17,96"
De 60 a 64 años,Ambos sexos,2013T3,"19,29"
De 60 a 64 años,Ambos sexos,2013T2,"18,01"
De 60 a 64 años,Ambos sexos,2013T1,"19,68"
De 60 a 64 años,Ambos sexos,2012T4,"16,99"
De 60 a 64 años,Ambos sexos,2012T3,"16,22"
De 60 a 64 años,Ambos sexos,2012T2,"16,33"
De 60 a 64 años,Ambos sexos,2012T1,"15,20"
De 60 a 64 años,Ambos sexos,2011T4,"14,12"
De 60 a 64 años,Ambos sexos,2011T3,"13,74"
De 60 a 64 años,Ambos sexos,2011T2,"12,85"
De 60 a 64 años,Ambos sexos,2011T1,"12,64"
De 60 a 64 años,Ambos sexos,2010T4,"13,47"
De 60 a 64 años,Ambos sexos,2010T3,"12,39"
De 60 a 64 años,Ambos sexos,2010T2,"13,01"
De 60 a 64 años,Ambos sexos,2010T1,"11,55"
De 60 a 64 años,Hombres,2023T4,"9,57"
De 60 a 64 años,Hombres,2023T3,"10,22"
De 60 a 64 años,Hombres,2023T2,"10,49"
De 60 a 64 años,Hombres,2023T1,"11,54"
De 60 a 64 años,Hombres,2022T4,"11,06"
De 60 a 64 años,Hombres,2022T3,"9,93"
De 60 a 64 años,Hombres,2022T2,"11,55"
De 60 a 64 años,Hombres,2022T1,"11,59"
De 60 a 64 años,Hombres,2021T4,"11,72"
De 60 a 64 años,Hombres,2021T3,"13,88"
De 60 a 64 años,Hombres,2021T2,"12,11"
De 60 a 64 años,Hombres,2021T1,"12,13"
De 60 a 64 años,Hombres,2020T4,"12,99"
De 60 a 64 años,Hombres,2020T3,"12,27"
De 60 a 64 años,Hombres,2020T2,"11,94"
De 60 a 64 años,Hombres,2020T1,"11,68"
De 60 a 64 años,Hombres,2019T4,"12,42"
De 60 a 64 años,Hombres,2019T3,"10,78"
De 60 a 64 años,Hombres,2019T2,"11,56"
De 60 a 64 años,Hombres,2019T1,"11,68"
De 60 a 64 años,Hombres,2018T4,"12,13"
De 60 a 64 años,Hombres,2018T3,"11,32"
De 60 a 64 años,Hombres,2018T2,"13,38"
De 60 a 64 años,Hombres,2018T1,"13,97"
De 60 a 64 años,Hombres,2017T4,"13,45"
De 60 a 64 años,Hombres,2017T3,"13,70"
De 60 a 64 años,Hombres,2017T2,"15,14"
De 60 a 64 años,Hombres,2017T1,"16,14"
De 60 a 64 años,Hombres,2016T4,"16,59"
De 60 a 64 años,Hombres,2016T3,"15,74"
De 60 a 64 años,Hombres,2016T2,"15,47"
De 60 a 64 años,Hombres,2016T1,"15,81"
De 60 a 64 años,Hombres,2015T4,"16,41"
De 60 a 64 años,Hombres,2015T3,"15,54"
De 60 a 64 años,Hombres,2015T2,"16,10"
De 60 a 64 años,Hombres,2015T1,"16,82"
De 60 a 64 años,Hombres,2014T4,"16,60"
De 60 a 64 años,Hombres,2014T3,"16,50"
De 60 a 64 años,Hombres,2014T2,"16,70"
De 60 a 64 años,Hombres,2014T1,"19,15"
De 60 a 64 años,Hombres,2013T4,"18,71"
De 60 a 64 años,Hombres,2013T3,"19,22"
De 60 a 64 años,Hombres,2013T2,"17,82"
De 60 a 64 años,Hombres,2013T1,"18,83"
De 60 a 64 años,Hombres,2012T4,"17,43"
De 60 a 64 años,Hombres,2012T3,"16,25"
De 60 a 64 años,Hombres,2012T2,"16,30"
De 60 a 64 años,Hombres,2012T1,"15,95"
De 60 a 64 años,Hombres,2011T4,"15,26"
De 60 a 64 años,Hombres,2011T3,"14,16"
De 60 a 64 años,Hombres,2011T2,"14,31"
De 60 a 64 años,Hombres,2011T1,"13,89"
De 60 a 64 años,Hombres,2010T4,"14,88"
De 60 a 64 años,Hombres,2010T3,"13,07"
De 60 a 64 años,Hombres,2010T2,"13,63"
De 60 a 64 años,Hombres,2010T1,"11,44"
De 60 a 64 años,Mujeres,2023T4,"11,99"
De 60 a 64 años,Mujeres,2023T3,"12,64"
De 60 a 64 años,Mujeres,2023T2,"12,44"
De 60 a 64 años,Mujeres,2023T1,"13,85"
De 60 a 64 años,Mujeres,2022T4,"14,25"
De 60 a 64 años,Mujeres,2022T3,"13,18"
De 60 a 64 años,Mujeres,2022T2,"14,56"
De 60 a 64 años,Mujeres,2022T1,"14,61"
De 60 a 64 años,Mujeres,2021T4,"14,74"
De 60 a 64 años,Mujeres,2021T3,"15,67"
De 60 a 64 años,Mujeres,2021T2,"13,88"
De 60 a 64 años,Mujeres,2021T1,"12,49"
De 60 a 64 años,Mujeres,2020T4,"12,95"
De 60 a 64 años,Mujeres,2020T3,"13,03"
De 60 a 64 años,Mujeres,2020T2,"12,28"
De 60 a 64 años,Mujeres,2020T1,"13,14"
De 60 a 64 años,Mujeres,2019T4,"13,45"
De 60 a 64 años,Mujeres,2019T3,"13,83"
De 60 a 64 años,Mujeres,2019T2,"14,28"
De 60 a 64 años,Mujeres,2019T1,"13,92"
De 60 a 64 años,Mujeres,2018T4,"15,45"
De 60 a 64 años,Mujeres,2018T3,"13,71"
De 60 a 64 años,Mujeres,2018T2,"13,87"
De 60 a 64 años,Mujeres,2018T1,"16,90"
De 60 a 64 años,Mujeres,2017T4,"14,94"
De 60 a 64 años,Mujeres,2017T3,"14,73"
De 60 a 64 años,Mujeres,2017T2,"14,60"
De 60 a 64 años,Mujeres,2017T1,"14,43"
De 60 a 64 años,Mujeres,2016T4,"15,76"
De 60 a 64 años,Mujeres,2016T3,"16,40"
De 60 a 64 años,Mujeres,2016T2,"16,10"
De 60 a 64 años,Mujeres,2016T1,"16,85"
De 60 a 64 años,Mujeres,2015T4,"17,16"
De 60 a 64 años,Mujeres,2015T3,"17,44"
De 60 a 64 años,Mujeres,2015T2,"17,11"
De 60 a 64 años,Mujeres,2015T1,"17,15"
De 60 a 64 años,Mujeres,2014T4,"15,95"
De 60 a 64 años,Mujeres,2014T3,"15,84"
De 60 a 64 años,Mujeres,2014T2,"17,57"
De 60 a 64 años,Mujeres,2014T1,"16,99"
De 60 a 64 años,Mujeres,2013T4,"16,97"
De 60 a 64 años,Mujeres,2013T3,"19,40"
De 60 a 64 años,Mujeres,2013T2,"18,27"
De 60 a 64 años,Mujeres,2013T1,"20,81"
De 60 a 64 años,Mujeres,2012T4,"16,37"
De 60 a 64 años,Mujeres,2012T3,"16,19"
De 60 a 64 años,Mujeres,2012T2,"16,37"
De 60 a 64 años,Mujeres,2012T1,"14,13"
De 60 a 64 años,Mujeres,2011T4,"12,46"
De 60 a 64 años,Mujeres,2011T3,"13,14"
De 60 a 64 años,Mujeres,2011T2,"10,68"
De 60 a 64 años,Mujeres,2011T1,"10,66"
De 60 a 64 años,Mujeres,2010T4,"11,32"
De 60 a 64 años,Mujeres,2010T3,"11,30"
De 60 a 64 años,Mujeres,2010T2,"12,01"
De 60 a 64 años,Mujeres,2010T1,"11,74"
De 65 a 69 años,Ambos sexos,2023T4,"5,94"
De 65 a 69 años,Ambos sexos,2023T3,"7,67"
De 65 a 69 años,Ambos sexos,2023T2,"8,30"
De 65 a 69 años,Ambos sexos,2023T1,"7,63"
De 65 a 69 años,Ambos sexos,2022T4,"5,79"
De 65 a 69 años,Ambos sexos,2022T3,"5,70"
De 65 a 69 años,Ambos sexos,2022T2,"5,99"
De 65 a 69 años,Ambos sexos,2022T1,"7,90"
De 65 a 69 años,Ambos sexos,2021T4,"6,66"
De 65 a 69 años,Ambos sexos,2021T3,"7,33"
De 65 a 69 años,Ambos sexos,2021T2,"6,28"
De 65 a 69 años,Ambos sexos,2021T1,"5,21"
De 65 a 69 años,Ambos sexos,2020T4,"5,89"
De 65 a 69 años,Ambos sexos,2020T3,"6,00"
De 65 a 69 años,Ambos sexos,2020T2,"7,09"
De 65 a 69 años,Ambos sexos,2020T1,"6,45"
De 65 a 69 años,Ambos sexos,2019T4,"5,85"
De 65 a 69 años,Ambos sexos,2019T3,"5,62"
De 65 a 69 años,Ambos sexos,2019T2,"9,39"
De 65 a 69 años,Ambos sexos,2019T1,"7,22"
De 65 a 69 años,Ambos sexos,2018T4,"6,05"
De 65 a 69 años,Ambos sexos,2018T3,"5,58"
De 65 a 69 años,Ambos sexos,2018T2,"5,56"
De 65 a 69 años,Ambos sexos,2018T1,"5,51"
De 65 a 69 años,Ambos sexos,2017T4,"5,10"
De 65 a 69 años,Ambos sexos,2017T3,"5,67"
De 65 a 69 años,Ambos sexos,2017T2,"3,50"
De 65 a 69 años,Ambos sexos,2017T1,"4,88"
De 65 a 69 años,Ambos sexos,2016T4,"4,05"
De 65 a 69 años,Ambos sexos,2016T3,"4,95"
De 65 a 69 años,Ambos sexos,2016T2,"3,84"
De 65 a 69 años,Ambos sexos,2016T1,"6,00"
De 65 a 69 años,Ambos sexos,2015T4,"4,82"
De 65 a 69 años,Ambos sexos,2015T3,"4,58"
De 65 a 69 años,Ambos sexos,2015T2,"4,37"
De 65 a 69 años,Ambos sexos,2015T1,"5,43"
De 65 a 69 años,Ambos sexos,2014T4,"6,23"
De 65 a 69 años,Ambos sexos,2014T3,"5,07"
De 65 a 69 años,Ambos sexos,2014T2,"5,56"
De 65 a 69 años,Ambos sexos,2014T1,"7,60"
De 65 a 69 años,Ambos sexos,2013T4,"10,62"
De 65 a 69 años,Ambos sexos,2013T3,"8,06"
De 65 a 69 años,Ambos sexos,2013T2,"6,25"
De 65 a 69 años,Ambos sexos,2013T1,"6,68"
De 65 a 69 años,Ambos sexos,2012T4,"5,36"
De 65 a 69 años,Ambos sexos,2012T3,"5,46"
De 65 a 69 años,Ambos sexos,2012T2,"5,31"
De 65 a 69 años,Ambos sexos,2012T1,"3,56"
De 65 a 69 años,Ambos sexos,2011T4,"3,30"
De 65 a 69 años,Ambos sexos,2011T3,"0,96"
De 65 a 69 años,Ambos sexos,2011T2,"0,97"
De 65 a 69 años,Ambos sexos,2011T1,"2,76"
De 65 a 69 años,Ambos sexos,2010T4,"2,14"
De 65 a 69 años,Ambos sexos,2010T3,"2,63"
De 65 a 69 años,Ambos sexos,2010T2,"4,63"
De 65 a 69 años,Ambos sexos,2010T1,"2,84"
De 65 a 69 años,Hombres,2023T4,"5,15"
De 65 a 69 años,Hombres,2023T3,"4,83"
De 65 a 69 años,Hombres,2023T2,"7,05"
De 65 a 69 años,Hombres,2023T1,"6,12"
De 65 a 69 años,Hombres,2022T4,"4,33"
De 65 a 69 años,Hombres,2022T3,"4,79"
De 65 a 69 años,Hombres,2022T2,"6,49"
De 65 a 69 años,Hombres,2022T1,"7,73"
De 65 a 69 años,Hombres,2021T4,"6,84"
De 65 a 69 años,Hombres,2021T3,"7,51"
De 65 a 69 años,Hombres,2021T2,"5,62"
De 65 a 69 años,Hombres,2021T1,"4,15"
De 65 a 69 años,Hombres,2020T4,"5,22"
De 65 a 69 años,Hombres,2020T3,"5,80"
De 65 a 69 años,Hombres,2020T2,"4,97"
De 65 a 69 años,Hombres,2020T1,"4,64"
De 65 a 69 años,Hombres,2019T4,"4,97"
De 65 a 69 años,Hombres,2019T3,"5,86"
De 65 a 69 años,Hombres,2019T2,"8,17"
De 65 a 69 años,Hombres,2019T1,"5,65"
De 65 a 69 años,Hombres,2018T4,"5,53"
De 65 a 69 años,Hombres,2018T3,"6,12"
De 65 a 69 años,Hombres,2018T2,"6,59"
De 65 a 69 años,Hombres,2018T1,"6,87"
De 65 a 69 años,Hombres,2017T4,"5,25"
De 65 a 69 años,Hombres,2017T3,"6,60"
De 65 a 69 años,Hombres,2017T2,"3,35"
De 65 a 69 años,Hombres,2017T1,"4,38"
De 65 a 69 años,Hombres,2016T4,"3,35"
De 65 a 69 años,Hombres,2016T3,"2,02"
De 65 a 69 años,Hombres,2016T2,"3,49"
De 65 a 69 años,Hombres,2016T1,"3,76"
De 65 a 69 años,Hombres,2015T4,"5,25"
De 65 a 69 años,Hombres,2015T3,"5,17"
De 65 a 69 años,Hombres,2015T2,"4,15"
De 65 a 69 años,Hombres,2015T1,"4,75"
De 65 a 69 años,Hombres,2014T4,"7,24"
De 65 a 69 años,Hombres,2014T3,"3,19"
De 65 a 69 años,Hombres,2014T2,"2,68"
De 65 a 69 años,Hombres,2014T1,"7,28"
De 65 a 69 años,Hombres,2013T4,"8,27"
De 65 a 69 años,Hombres,2013T3,"8,42"
De 65 a 69 años,Hombres,2013T2,"7,23"
De 65 a 69 años,Hombres,2013T1,"8,81"
De 65 a 69 años,Hombres,2012T4,"4,86"
De 65 a 69 años,Hombres,2012T3,"4,91"
De 65 a 69 años,Hombres,2012T2,"6,29"
De 65 a 69 años,Hombres,2012T1,"4,82"
De 65 a 69 años,Hombres,2011T4,"2,14"
De 65 a 69 años,Hombres,2011T3,"0,44"
De 65 a 69 años,Hombres,2011T2,"0,19"
De 65 a 69 años,Hombres,2011T1,"2,12"
De 65 a 69 años,Hombres,2010T4,"2,77"
De 65 a 69 años,Hombres,2010T3,"3,70"
De 65 a 69 años,Hombres,2010T2,"6,67"
De 65 a 69 años,Hombres,2010T1,"3,67"
De 65 a 69 años,Mujeres,2023T4,"6,73"
De 65 a 69 años,Mujeres,2023T3,"10,66"
De 65 a 69 años,Mujeres,2023T2,"9,61"
De 65 a 69 años,Mujeres,2023T1,"9,29"
De 65 a 69 años,Mujeres,2022T4,"7,36"
De 65 a 69 años,Mujeres,2022T3,"6,79"
De 65 a 69 años,Mujeres,2022T2,"5,44"
De 65 a 69 años,Mujeres,2022T1,"8,09"
De 65 a 69 años,Mujeres,2021T4,"6,45"
De 65 a 69 años,Mujeres,2021T3,"7,12"
De 65 a 69 años,Mujeres,2021T2,"7,07"
De 65 a 69 años,Mujeres,2021T1,"6,43"
De 65 a 69 años,Mujeres,2020T4,"6,66"
De 65 a 69 años,Mujeres,2020T3,"6,26"
De 65 a 69 años,Mujeres,2020T2,"9,68"
De 65 a 69 años,Mujeres,2020T1,"8,72"
De 65 a 69 años,Mujeres,2019T4,"7,01"
De 65 a 69 años,Mujeres,2019T3,"5,34"
De 65 a 69 años,Mujeres,2019T2,"10,83"
De 65 a 69 años,Mujeres,2019T1,"8,95"
De 65 a 69 años,Mujeres,2018T4,"6,63"
De 65 a 69 años,Mujeres,2018T3,"4,91"
De 65 a 69 años,Mujeres,2018T2,"4,19"
De 65 a 69 años,Mujeres,2018T1,"3,44"
De 65 a 69 años,Mujeres,2017T4,"4,89"
De 65 a 69 años,Mujeres,2017T3,"4,29"
De 65 a 69 años,Mujeres,2017T2,"3,71"
De 65 a 69 años,Mujeres,2017T1,"5,60"
De 65 a 69 años,Mujeres,2016T4,"5,01"
De 65 a 69 años,Mujeres,2016T3,"8,44"
De 65 a 69 años,Mujeres,2016T2,"4,25"
De 65 a 69 años,Mujeres,2016T1,"8,44"
De 65 a 69 años,Mujeres,2015T4,"4,31"
De 65 a 69 años,Mujeres,2015T3,"3,97"
De 65 a 69 años,Mujeres,2015T2,"4,63"
De 65 a 69 años,Mujeres,2015T1,"6,37"
De 65 a 69 años,Mujeres,2014T4,"4,89"
De 65 a 69 años,Mujeres,2014T3,"7,85"
De 65 a 69 años,Mujeres,2014T2,"9,69"
De 65 a 69 años,Mujeres,2014T1,"7,98"
De 65 a 69 años,Mujeres,2013T4,"13,48"
De 65 a 69 años,Mujeres,2013T3,"7,57"
De 65 a 69 años,Mujeres,2013T2,"4,94"
De 65 a 69 años,Mujeres,2013T1,"3,57"
De 65 a 69 años,Mujeres,2012T4,"6,03"
De 65 a 69 años,Mujeres,2012T3,"6,19"
De 65 a 69 años,Mujeres,2012T2,"4,06"
De 65 a 69 años,Mujeres,2012T1,"1,89"
De 65 a 69 años,Mujeres,2011T4,"4,82"
De 65 a 69 años,Mujeres,2011T3,"1,64"
De 65 a 69 años,Mujeres,2011T2,"1,89"
De 65 a 69 años,Mujeres,2011T1,"3,44"
De 65 a 69 años,Mujeres,2010T4,"1,41"
De 65 a 69 años,Mujeres,2010T3,"1,18"
De 65 a 69 años,Mujeres,2010T2,"2,01"
De 65 a 69 años,Mujeres,2010T1,"1,69"
70 y más años,Ambos sexos,2023T4,"1,17"
70 y más años,Ambos sexos,2023T3,"7,33"
70 y más años,Ambos sexos,2023T2,"1,40"
70 y más años,Ambos sexos,2023T1,"2,34"
70 y más años,Ambos sexos,2022T4,"3,83"
70 y más años,Ambos sexos,2022T3,"1,99"
70 y más años,Ambos sexos,2022T2,"5,35"
70 y más años,Ambos sexos,2022T1,"2,30"
70 y más años,Ambos sexos,2021T4,"0,56"
70 y más años,Ambos sexos,2021T3,"1,64"
70 y más años,Ambos sexos,2021T2,"3,87"
70 y más años,Ambos sexos,2021T1,"2,31"
70 y más años,Ambos sexos,2020T4,"0,00"
70 y más años,Ambos sexos,2020T3,"4,00"
70 y más años,Ambos sexos,2020T2,"0,79"
70 y más años,Ambos sexos,2020T1,"1,04"
70 y más años,Ambos sexos,2019T4,"1,11"
70 y más años,Ambos sexos,2019T3,"1,71"
70 y más años,Ambos sexos,2019T2,"0,00"
70 y más años,Ambos sexos,2019T1,"0,34"
70 y más años,Ambos sexos,2018T4,"0,48"
70 y más años,Ambos sexos,2018T3,"0,39"
70 y más años,Ambos sexos,2018T2,"0,73"
70 y más años,Ambos sexos,2018T1,"0,45"
70 y más años,Ambos sexos,2017T4,"2,38"
70 y más años,Ambos sexos,2017T3,"1,71"
70 y más años,Ambos sexos,2017T2,"1,38"
70 y más años,Ambos sexos,2017T1,"0,89"
70 y más años,Ambos sexos,2016T4,"3,30"
70 y más años,Ambos sexos,2016T3,"3,28"
70 y más años,Ambos sexos,2016T2,"2,62"
70 y más años,Ambos sexos,2016T1,"4,57"
70 y más años,Ambos sexos,2015T4,"2,23"
70 y más años,Ambos sexos,2015T3,"1,53"
70 y más años,Ambos sexos,2015T2,"2,22"
70 y más años,Ambos sexos,2015T1,"0,00"
70 y más años,Ambos sexos,2014T4,"2,32"
70 y más años,Ambos sexos,2014T3,"3,31"
70 y más años,Ambos sexos,2014T2,"3,21"
70 y más años,Ambos sexos,2014T1,"0,00"
70 y más años,Ambos sexos,2013T4,"3,57"
70 y más años,Ambos sexos,2013T3,"0,69"
70 y más años,Ambos sexos,2013T2,"0,00"
70 y más años,Ambos sexos,2013T1,"0,39"
70 y más años,Ambos sexos,2012T4,"1,27"
70 y más años,Ambos sexos,2012T3,"0,00"
70 y más años,Ambos sexos,2012T2,"0,13"
70 y más años,Ambos sexos,2012T1,"3,48"
70 y más años,Ambos sexos,2011T4,"0,00"
70 y más años,Ambos sexos,2011T3,"1,29"
70 y más años,Ambos sexos,2011T2,"3,85"
70 y más años,Ambos sexos,2011T1,"3,24"
70 y más años,Ambos sexos,2010T4,"1,84"
70 y más años,Ambos sexos,2010T3,"1,46"
70 y más años,Ambos sexos,2010T2,"0,67"
70 y más años,Ambos sexos,2010T1,"0,00"
70 y más años,Hombres,2023T4,"1,66"
70 y más años,Hombres,2023T3,"6,60"
70 y más años,Hombres,2023T2,"0,57"
70 y más años,Hombres,2023T1,"3,42"
70 y más años,Hombres,2022T4,"5,07"
70 y más años,Hombres,2022T3,"2,34"
70 y más años,Hombres,2022T2,"6,28"
70 y más años,Hombres,2022T1,"1,22"
70 y más años,Hombres,2021T4,"0,81"
70 y más años,Hombres,2021T3,"2,41"
70 y más años,Hombres,2021T2,"2,69"
70 y más años,Hombres,2021T1,"2,93"
70 y más años,Hombres,2020T4,"0,00"
70 y más años,Hombres,2020T3,"3,71"
70 y más años,Hombres,2020T2,"1,24"
70 y más años,Hombres,2020T1,"0,51"
70 y más años,Hombres,2019T4,"1,66"
70 y más años,Hombres,2019T3,"2,55"
70 y más años,Hombres,2019T2,"0,00"
70 y más años,Hombres,2019T1,"0,29"
70 y más años,Hombres,2018T4,"0,00"
70 y más años,Hombres,2018T3,"0,00"
70 y más años,Hombres,2018T2,"0,00"
70 y más años,Hombres,2018T1,"0,00"
